lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message,orig_init_index
0.01,0.01,16.0,0.4148994182118533,0.4521198449441843,0.4278758144107415,-0.3284325509004477,True,0.3784756111233164,-0.0030683227529922,0.3914520073222047,-0.0210714082099529,0.9997025167689482,0.9997070509574328,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,17.0,0.410869914980785,-0.1704012461790292,0.0687180617511896,0.3217987041815059,True,0.5374621490459629,-0.0029219060252451,0.2317854142150147,-0.0208556763044289,0.999702616881856,0.9997070518495452,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,18.0,0.4579330366232799,-1.1266653110842662,0.0335428470968293,-0.0629906445907518,True,0.5967147441299427,-0.0032392453167604,0.1723245546402901,-0.0207501376482506,0.9997026434491504,0.9997070540583768,6,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,19.0,0.0210463774857038,-0.2849262610340929,0.1672412546997006,0.2269375929073144,True,0.3120390658522685,-0.0030157193391704,0.4582339432805349,-0.020795692378457,0.9997026356671264,0.9997070512209728,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,20.0,0.4990388919558806,-0.8871446288857074,0.2006678255566742,0.0670077084357743,True,0.5344018426603688,-0.0028905344677906,0.236030776289524,-0.0208181849484986,0.9997026342714808,0.9997070517916212,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,21.0,0.615911703110255,-1.2477397523064222,0.2169043076332726,0.3935580037471127,True,0.5039042737161293,-0.0029051055235601,0.265616039332276,-0.0209054645294321,0.9997025961444111,0.9997070509252642,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,22.0,0.4302441320560223,-1.2081763911703567,0.2438722807115758,-0.2659565439859496,True,0.4781460097782238,-0.0028997188839606,0.2917741584337787,-0.0208257459369666,0.9997026292567514,0.9997070504573856,6,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,23.0,0.4397004069120703,0.2855182161101058,0.3316796673005617,1.0937532286801477,True,0.3834185482111238,-0.0029358037773851,0.386545802958078,-0.020964828314465,0.9997025690386306,0.9997070504683314,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,24.0,0.5314871638830817,-0.1835852428342332,0.1518678761218665,-0.5135373972293955,True,0.574350469513454,-0.0028113064200114,0.1947311819901787,-0.0204965537047181,0.9997027731780064,0.999707053299582,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,25.0,0.0895594808184613,-1.547164971398614,0.5764688868987439,-0.7997659150871513,True,0.167303961411216,-0.0029325186229074,0.6025162046724587,-0.0208523706453719,0.9997026161996512,0.9997070504099212,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,26.0,0.8558209564364567,-0.2832188485097392,0.0486320885487365,-1.3261380520035446,True,0.7442788915285654,-0.0027167333207407,0.0262950677471931,-0.0209143105342623,0.9997026049209584,0.9997070528112092,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,28.0,0.6176698967958213,-0.2051467058359882,0.0131969110382178,-0.2679674245777862,True,0.6869977670745425,-0.0029741106449441,0.0825247816621511,-0.0208717561087712,0.999702606147828,0.9997070509032,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.01,29.0,0.5687588598469732,-0.1969468250820809,0.1640508896797159,-0.7341316160502759,True,0.5735930729089411,-0.0025237417591384,0.1960407793909368,-0.020653492129054,0.9997027232594686,0.9997070526195644,9,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,0.0,0.279313140947225,-0.6638987653459945,0.6599603874303179,-0.1040575647996155,True,0.2224935039910911,4.795289221268053e-05,0.6031407507895975,-0.5825513644528034,0.9996161481954609,0.9996161484254088,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,1.0,0.2620935845747196,0.4095831663161509,0.0584131437039923,-0.1834064939507817,True,0.5146727983508707,2.9197129041639555e-05,0.3109923578416593,-0.5825470017416233,0.9996161482772686,0.999616148362516,9,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,2.0,0.2384901708586735,-1.040013219436819,0.4226831507706339,0.1488123024929416,True,0.2831011045206936,5.445399745542662e-05,0.5426070260168143,-0.5823981299743908,0.9996161481385396,0.9996161484350632,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,3.0,0.2519794291114685,-1.1205930668215116,0.4039215912858385,0.5282915025369892,True,0.2519794565271937,-1.1205929401628822,0.4039215730318934,0.5282918840806095,1.487393680214923,1.6129665339692123,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.1,0.0,5.0,0.6052711492352789,0.4519866468435967,0.0,-0.652805206932501,True,0.7154993172393115,2.2723117864260377e-05,0.1102281685505875,-0.5822103173367035,0.9996161483608564,0.9996161484124904,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,7.0,0.0557616648946405,-0.2976540514378341,0.4119128591164834,0.6536321755157675,True,0.2556822792939829,3.620380153806291e-05,0.5700382920333612,-0.5777321478422957,0.9996161533861676,0.999616153517239,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,8.0,0.5132406083186256,0.8080845325981973,0.3015501262778778,0.0588991872522557,True,0.3687541598246189,2.971377521052004e-05,0.4568544662990342,-0.5830396386737136,0.9996161483989756,0.9996161484872664,34,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
